Seq,Stamp_secs,Stamp_nsecs,Frame_ID,Voltage,Temperature,Current,Charge,Capacity,Design_Capacity,Percentage,Power_Supply_Status,Power_Supply_Health,Power_Supply_Technology,Present,Cell_Voltage_1,Cell_Voltage_2,Cell_Voltage_3,Cell_Voltage_4
3002,1690135402,397539738,,4.204999923706055,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3003,1690135403,396657312,,4.192999839782715,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3004,1690135404,396744996,,4.203000068664551,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3005,1690135405,398790162,,4.205999851226807,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3006,1690135406,395517976,,4.205999851226807,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.059999942779541,1.059999942779541,1.059999942779541,1.059999942779541
3007,1690135407,399020402,,4.175000190734863,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0490000247955322,1.0490000247955322,1.0490000247955322,1.0490000247955322
3008,1690135408,395066012,,4.181000232696533,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
3009,1690135409,397064345,,4.192999839782715,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
3010,1690135410,397668530,,4.199999809265137,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
3011,1690135411,395833288,,4.201000213623047,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0199999809265137,1.0199999809265137,1.0199999809265137,1.0199999809265137
3012,1690135412,397606269,,4.170000076293945,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3013,1690135413,397114806,,4.172999858856201,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0579999685287476,1.0579999685287476,1.0579999685287476,1.0579999685287476
3014,1690135414,397484972,,4.171000003814697,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0470000505447388,1.0470000505447388,1.0470000505447388,1.0470000505447388
3015,1690135415,395935601,,4.177999973297119,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.034000039100647,1.034000039100647,1.034000039100647,1.034000039100647
3016,1690135416,394539100,,4.182000160217285,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0490000247955322,1.0490000247955322,1.0490000247955322,1.0490000247955322
3017,1690135417,393428081,,4.188000202178955,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3018,1690135418,394488043,,4.196000099182129,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3019,1690135419,393382339,,4.193999767303467,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.034000039100647,1.034000039100647,1.034000039100647,1.034000039100647
3020,1690135420,394453135,,4.196000099182129,0.0,-0.12999999523162842,nan,nan,nan,0.0,2,0,3,True,1.0420000553131104,1.0420000553131104,1.0420000553131104,1.0420000553131104
3021,1690135421,398281764,,4.197999954223633,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0579999685287476,1.0579999685287476,1.0579999685287476,1.0579999685287476
3022,1690135422,394203356,,4.201000213623047,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
3023,1690135423,399229892,,4.190000057220459,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0470000505447388,1.0470000505447388,1.0470000505447388,1.0470000505447388
3024,1690135424,392847169,,4.198999881744385,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404
3025,1690135425,393617095,,4.201000213623047,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
3026,1690135426,394711576,,4.204999923706055,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0360000133514404,1.0360000133514404,1.0360000133514404,1.0360000133514404
3027,1690135427,394852297,,4.197999954223633,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0449999570846558,1.0449999570846558,1.0449999570846558,1.0449999570846558
3028,1690135428,395132167,,4.197999954223633,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3029,1690135429,393490796,,4.201000213623047,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
3030,1690135430,394156147,,4.184999942779541,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0579999685287476,1.0579999685287476,1.0579999685287476,1.0579999685287476
