Seq,Stamp_secs,Stamp_nsecs,Frame_ID,Voltage,Temperature,Current,Charge,Capacity,Design_Capacity,Percentage,Power_Supply_Status,Power_Supply_Health,Power_Supply_Technology,Present,Cell_Voltage_1,Cell_Voltage_2,Cell_Voltage_3,Cell_Voltage_4
698,1690133098,581385704,,4.190000057220459,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
699,1690133099,588306055,,4.197999954223633,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.065000057220459,1.065000057220459,1.065000057220459,1.065000057220459
700,1690133100,580106517,,4.203000068664551,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0379999876022339,1.0379999876022339,1.0379999876022339,1.0379999876022339
701,1690133101,581368554,,4.205999851226807,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.059999942779541,1.059999942779541,1.059999942779541,1.059999942779541
702,1690133102,579655683,,4.190999984741211,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
703,1690133103,579376293,,4.184999942779541,0.0,-0.12999999523162842,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
704,1690133104,579784793,,4.189000129699707,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0579999685287476,1.0579999685287476,1.0579999685287476,1.0579999685287476
705,1690133105,580375403,,4.202000141143799,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.055999994277954,1.055999994277954,1.055999994277954,1.055999994277954
706,1690133106,579762514,,4.209000110626221,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.062000036239624,1.062000036239624,1.062000036239624,1.062000036239624
707,1690133107,579460328,,4.2129998207092285,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0509999990463257,1.0509999990463257,1.0509999990463257,1.0509999990463257
708,1690133108,580302068,,4.209000110626221,0.0,-0.15000000596046448,nan,nan,nan,0.0,2,0,3,True,1.0379999876022339,1.0379999876022339,1.0379999876022339,1.0379999876022339
709,1690133109,577832438,,4.206999778747559,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.059999942779541,1.059999942779541,1.059999942779541,1.059999942779541
710,1690133110,580308808,,4.198999881744385,0.0,-0.14000000059604645,nan,nan,nan,0.0,2,0,3,True,1.0529999732971191,1.0529999732971191,1.0529999732971191,1.0529999732971191
